股票代码,股票名称,综合分
603212,赛伍技术,83.32
688219,会通股份,82.47
601066,中信建投,81.44
000012,南  玻Ａ,80.42
600906,财达证券,80.38
000733,振华科技,79.93
002522,浙江众成,79.44
600688,上海石化,79.37
002866,传艺科技,79.25
603160,汇顶科技,79.25
600023,浙能电力,79.24
301439,泓淋电力,79.09
600596,新安股份,78.93
000795,英洛华,78.9
600030,中信证券,78.51
600516,方大炭素,78.46
600999,XD招商证,78.31
601788,光大证券,78.26
000411,英特集团,78.22
000065,北方国际,78.15
002125,湘潭电化,78.08
600011,华能国际,78.07
002426,胜利精密,77.99
600109,国金证券,77.72
002011,盾安环境,77.71
000791,甘肃能源,77.58
601901,方正证券,77.52
301656,联合动力,77.5
002632,道明光学,77.48
000899,赣能股份,77.38
600171,上海贝岭,77.17
301238,瑞泰新材,77.07
601059,信达证券,77.06
601881,中国银河,77.04
300082,奥克股份,77.03
000050,深天马Ａ,77.0
301513,尚水智能,76.95
605277,新亚电子,76.82
002608,江苏国信,76.81
600163,中闽能源,76.74
