日期,板块,热度分,置信度,股票代码,股票名称,匹配线索
20260813,一带一路,8.8,观察,002640,跨境通,一带一路|出海|外贸|跨境
20260813,石油石化,6.0,观察,000554,泰山石油,石油|石化|天然气|油气
20260813,石油石化,6.0,观察,000703,恒逸石化,石油|石化|天然气|油气
20260813,石油石化,6.0,观察,000852,石化机械,石油|石化|天然气|油气
20260813,石油石化,6.0,观察,002267,陕天然气,石油|石化|天然气|油气
20260813,石油石化,6.0,观察,002493,荣盛石化,石油|石化|天然气|油气
20260813,石油石化,6.0,观察,300164,通源石油,石油|石化|天然气|油气
20260813,石油石化,6.0,观察,600028,中国石化,石油|石化|天然气|油气
20260813,石油石化,6.0,观察,600346,恒力石化,石油|石化|天然气|油气
20260813,石油石化,6.0,观察,600688,上海石化,石油|石化|天然气|油气
20260813,石油石化,6.0,观察,600871,石化油服,石油|石化|天然气|油气
20260813,石油石化,6.0,观察,601857,中国石油,石油|石化|天然气|油气
20260813,石油石化,6.0,观察,603353,和顺石油,石油|石化|天然气|油气
20260813,石油石化,6.0,观察,603393,新天然气,石油|石化|天然气|油气
20260813,石油石化,6.0,观察,603619,中曼石油,石油|石化|天然气|油气
20260813,石油石化,6.0,观察,603689,皖天然气,石油|石化|天然气|油气
20260813,石油石化,6.0,观察,688669,聚石化学,石油|石化|天然气|油气
20260813,物流,5.0,观察,000520,凤凰航运,物流|快递|航运|港口
20260813,物流,5.0,观察,001872,招商港口,物流|快递|航运|港口
20260813,物流,5.0,观察,002468,申通快递,物流|快递|航运|港口
20260813,物流,5.0,观察,300013,新宁物流,物流|快递|航运|港口
20260813,物流,5.0,观察,600125,铁龙物流,物流|快递|航运|港口
20260813,物流,5.0,观察,600603,广汇物流,物流|快递|航运|港口
20260813,物流,5.0,观察,601083,锦江航运,物流|快递|航运|港口
20260813,物流,5.0,观察,601156,东航物流,物流|快递|航运|港口
20260813,物流,5.0,观察,603117,万林物流,物流|快递|航运|港口
20260813,物流,5.0,观察,603128,华贸物流,物流|快递|航运|港口
20260813,物流,5.0,观察,603565,中谷物流,物流|快递|航运|港口
20260813,物流,5.0,观察,603569,长久物流,物流|快递|航运|港口
20260813,物流,5.0,观察,603967,中创物流,物流|快递|航运|港口
20260813,航空机场,4.0,观察,000089,深圳机场,航空|机场|民航|飞机
20260813,航空机场,4.0,观察,000697,炼石航空,航空|机场|民航|飞机
20260813,航空机场,4.0,观察,002928,华夏航空,航空|机场|民航|飞机
20260813,航空机场,4.0,观察,300581,晨曦航空,航空|机场|民航|飞机
20260813,航空机场,4.0,观察,300900,广联航空,航空|机场|民航|飞机
20260813,航空机场,4.0,观察,600004,白云机场,航空|机场|民航|飞机
20260813,航空机场,4.0,观察,600009,上海机场,航空|机场|民航|飞机
20260813,航空机场,4.0,观察,600029,南方航空,航空|机场|民航|飞机
