日期,板块,热度分,置信度,股票代码,股票名称,匹配线索
20260908,一带一路,18.8,中,002640,跨境通,一带一路|出海|外贸|跨境
20260908,消费,8.0,观察,000921,海信家电,消费|白酒|食品饮料|家电
20260908,消费,8.0,观察,000978,桂林旅游,消费|白酒|食品饮料|家电
20260908,消费,8.0,观察,002059,云南旅游,消费|白酒|食品饮料|家电
20260908,消费,8.0,观察,002627,三峡旅游,消费|白酒|食品饮料|家电
20260908,消费,8.0,观察,002707,众信旅游,消费|白酒|食品饮料|家电
20260908,消费,8.0,观察,300859,西域旅游,消费|白酒|食品饮料|家电
20260908,消费,8.0,观察,600054,黄山旅游,消费|白酒|食品饮料|家电
20260908,消费,8.0,观察,600749,西藏旅游,消费|白酒|食品饮料|家电
20260908,消费,8.0,观察,603199,九华旅游,消费|白酒|食品饮料|家电
20260908,消费,8.0,观察,603402,陕西旅游,消费|白酒|食品饮料|家电
20260908,教育,5.8,观察,000526,学大教育,教育|职业教育|培训|教育信息化
20260908,教育,5.8,观察,002607,中公教育,教育|职业教育|培训|教育信息化
20260908,教育,5.8,观察,002659,凯文教育,教育|职业教育|培训|教育信息化
20260908,教育,5.8,观察,003032,传智教育,教育|职业教育|培训|教育信息化
20260908,教育,5.8,观察,300192,科德教育,教育|职业教育|培训|教育信息化
20260908,教育,5.8,观察,300359,全通教育,教育|职业教育|培训|教育信息化
20260908,教育,5.8,观察,300559,佳发教育,教育|职业教育|培训|教育信息化
20260908,教育,5.8,观察,600661,昂立教育,教育|职业教育|培训|教育信息化
20260908,教育,5.8,观察,605098,行动教育,教育|职业教育|培训|教育信息化
20260908,汽车,4.0,观察,000550,江铃汽车,汽车|整车|汽车零部件|乘用车
20260908,汽车,4.0,观察,000572,海马汽车,汽车|整车|汽车零部件|乘用车
20260908,汽车,4.0,观察,000625,长安汽车,汽车|整车|汽车零部件|乘用车
20260908,汽车,4.0,观察,000980,众泰汽车,汽车|整车|汽车零部件|乘用车
20260908,汽车,4.0,观察,301560,众捷汽车,汽车|整车|汽车零部件|乘用车
20260908,汽车,4.0,观察,600166,福田汽车,汽车|整车|汽车零部件|乘用车
20260908,汽车,4.0,观察,600335,国机汽车,汽车|整车|汽车零部件|乘用车
20260908,汽车,4.0,观察,600418,江淮汽车,汽车|整车|汽车零部件|乘用车
20260908,汽车,4.0,观察,600609,金杯汽车,汽车|整车|汽车零部件|乘用车
20260908,汽车,4.0,观察,600686,金龙汽车,汽车|整车|汽车零部件|乘用车
20260908,汽车,4.0,观察,600741,华域汽车,汽车|整车|汽车零部件|乘用车
20260908,汽车,4.0,观察,600960,渤海汽车,汽车|整车|汽车零部件|乘用车
20260908,汽车,4.0,观察,601279,英利汽车,汽车|整车|汽车零部件|乘用车
20260908,汽车,4.0,观察,601633,长城汽车,汽车|整车|汽车零部件|乘用车
20260908,汽车,4.0,观察,603982,泉峰汽车,汽车|整车|汽车零部件|乘用车
20260908,汽车,4.0,观察,920030,德众汽车,汽车|整车|汽车零部件|乘用车
20260908,物流,4.0,观察,000520,凤凰航运,物流|快递|航运|港口
20260908,物流,4.0,观察,001872,招商港口,物流|快递|航运|港口
20260908,物流,4.0,观察,002468,申通快递,物流|快递|航运|港口
20260908,物流,4.0,观察,300013,新宁物流,物流|快递|航运|港口
20260908,物流,4.0,观察,600125,铁龙物流,物流|快递|航运|港口
20260908,物流,4.0,观察,600603,广汇物流,物流|快递|航运|港口
20260908,物流,4.0,观察,601083,锦江航运,物流|快递|航运|港口
20260908,物流,4.0,观察,601156,东航物流,物流|快递|航运|港口
20260908,物流,4.0,观察,603117,万林物流,物流|快递|航运|港口
20260908,物流,4.0,观察,603128,华贸物流,物流|快递|航运|港口
20260908,物流,4.0,观察,603565,中谷物流,物流|快递|航运|港口
20260908,物流,4.0,观察,603569,长久物流,物流|快递|航运|港口
20260908,物流,4.0,观察,603967,中创物流,物流|快递|航运|港口
20260908,电力,2.0,观察,000537,绿发电力,电力|火电|水电|核电
20260908,电力,2.0,观察,000539,粤电力Ａ,电力|火电|水电|核电
20260908,电力,2.0,观察,000543,皖能电力,电力|火电|水电|核电
20260908,电力,2.0,观察,000561,烽火电子,电力|火电|水电|核电
20260908,电力,2.0,观察,000767,晋控电力,电力|火电|水电|核电
20260908,电力,2.0,观察,000966,长源电力,电力|火电|水电|核电
20260908,电力,2.0,观察,000993,闽东电力,电力|火电|水电|核电
20260908,电力,2.0,观察,001289,龙源电力,电力|火电|水电|核电
20260908,电力,2.0,观察,002039,黔源电力,电力|火电|水电|核电
20260908,电力,2.0,观察,002366,融发核电,电力|火电|水电|核电
20260908,电力,2.0,观察,300407,凯发电气,电力|火电|水电|核电
20260908,电力,2.0,观察,301155,海力风电,电力|火电|水电|核电
20260908,电力,2.0,观察,301439,泓淋电力,电力|火电|水电|核电
20260908,电力,2.0,观察,301609,山大电力,电力|火电|水电|核电
20260908,电力,2.0,观察,600021,上海电力,电力|火电|水电|核电
20260908,电力,2.0,观察,600023,浙能电力,电力|火电|水电|核电
20260908,电力,2.0,观察,600101,明星电力,电力|火电|水电|核电
20260908,电力,2.0,观察,600236,桂冠电力,电力|火电|水电|核电
20260908,电力,2.0,观察,600292,电投水电,电力|火电|水电|核电
20260908,电力,2.0,观察,600452,涪陵电力,电力|火电|水电|核电
20260908,电力,2.0,观察,600505,西昌电力,电力|火电|水电|核电
20260908,电力,2.0,观察,600578,京能电力,电力|火电|水电|核电
20260908,电力,2.0,观察,600644,乐山电力,电力|火电|水电|核电
20260908,电力,2.0,观察,600744,华银电力,电力|火电|水电|核电
20260908,电力,2.0,观察,600795,国电电力,电力|火电|水电|核电
20260908,电力,2.0,观察,600831,广电网络,电力|火电|水电|核电
20260908,电力,2.0,观察,600886,国投电力,电力|火电|水电|核电
20260908,电力,2.0,观察,600900,长江电力,电力|火电|水电|核电
20260908,电力,2.0,观察,601016,节能风电,电力|火电|水电|核电
20260908,电力,2.0,观察,601985,中国核电,电力|火电|水电|核电
20260908,电力,2.0,观察,601991,大唐发电,电力|火电|水电|核电
20260908,电力,2.0,观察,603530,神马电力,电力|火电|水电|核电
20260908,电力,2.0,观察,603556,海兴电力,电力|火电|水电|核电
20260908,电力,2.0,观察,688597,煜邦电力,电力|火电|水电|核电
20260908,电力,2.0,观察,688660,电气风电,电力|火电|水电|核电
20260908,电力,2.0,观察,920046,亿能电力,电力|火电|水电|核电
20260908,电力,2.0,观察,920299,灿能电力,电力|火电|水电|核电
20260908,光伏,2.0,观察,000591,太阳能,光伏|太阳能|硅片|组件
20260908,光伏,2.0,观察,300093,金刚光伏,光伏|太阳能|硅片|组件
20260908,军工,2.0,观察,002151,北斗星通,军工|国防|航空发动机|卫星
20260908,军工,2.0,观察,002648,卫星化学,军工|国防|航空发动机|卫星
20260908,军工,2.0,观察,600118,中国卫星,军工|国防|航空发动机|卫星
20260908,军工,2.0,观察,600150,中国船舶,军工|国防|航空发动机|卫星
20260908,军工,2.0,观察,601606,长城军工,军工|国防|航空发动机|卫星
20260908,军工,2.0,观察,688543,国科军工,军工|国防|航空发动机|卫星
20260908,有色金属,2.0,观察,000506,招金黄金,有色|黄金|白银|铅锌
20260908,有色金属,2.0,观察,000630,铜陵有色,有色|黄金|白银|铅锌
20260908,有色金属,2.0,观察,001337,四川黄金,有色|黄金|白银|铅锌
20260908,有色金属,2.0,观察,002155,湖南黄金,有色|黄金|白银|铅锌
20260908,有色金属,2.0,观察,002716,湖南白银,有色|黄金|白银|铅锌
20260908,有色金属,2.0,观察,600259,中稀有色,有色|黄金|白银|铅锌
20260908,有色金属,2.0,观察,600301,华锡有色,有色|黄金|白银|铅锌
20260908,有色金属,2.0,观察,600489,中金黄金,有色|黄金|白银|铅锌
20260908,有色金属,2.0,观察,600547,山东黄金,有色|黄金|白银|铅锌
20260908,有色金属,2.0,观察,600916,中国黄金,有色|黄金|白银|铅锌
20260908,有色金属,2.0,观察,600988,赤峰黄金,有色|黄金|白银|铅锌
20260908,有色金属,2.0,观察,601069,西部黄金,有色|黄金|白银|铅锌
20260908,有色金属,2.0,观察,601212,白银有色,有色|黄金|白银|铅锌
20260908,农业,2.0,观察,000816,智慧农业,农业|种业|养殖|猪肉
20260908,农业,2.0,观察,000860,顺鑫农业,农业|种业|养殖|猪肉
20260908,农业,2.0,观察,001313,粤海饲料,农业|种业|养殖|猪肉
20260908,农业,2.0,观察,002041,登海种业,农业|种业|养殖|猪肉
20260908,农业,2.0,观察,002321,华英农业,农业|种业|养殖|猪肉
20260908,农业,2.0,观察,300189,神农种业,农业|种业|养殖|猪肉
20260908,农业,2.0,观察,600313,农发种业,农业|种业|养殖|猪肉
20260908,农业,2.0,观察,600354,敦煌种业,农业|种业|养殖|猪肉
20260908,农业,2.0,观察,601288,农业银行,农业|种业|养殖|猪肉
20260908,农业,2.0,观察,920087,秋乐种业,农业|种业|养殖|猪肉
20260908,农业,2.0,观察,920403,康农种业,农业|种业|养殖|猪肉
20260908,石油石化,2.0,观察,000554,泰山石油,石油|石化|天然气|油气
20260908,石油石化,2.0,观察,000703,恒逸石化,石油|石化|天然气|油气
20260908,石油石化,2.0,观察,000852,石化机械,石油|石化|天然气|油气
20260908,石油石化,2.0,观察,002267,陕天然气,石油|石化|天然气|油气
20260908,石油石化,2.0,观察,002493,荣盛石化,石油|石化|天然气|油气
20260908,石油石化,2.0,观察,300164,通源石油,石油|石化|天然气|油气
20260908,石油石化,2.0,观察,600028,中国石化,石油|石化|天然气|油气
20260908,石油石化,2.0,观察,600346,恒力石化,石油|石化|天然气|油气
20260908,石油石化,2.0,观察,600688,上海石化,石油|石化|天然气|油气
20260908,石油石化,2.0,观察,600871,石化油服,石油|石化|天然气|油气
20260908,石油石化,2.0,观察,601857,中国石油,石油|石化|天然气|油气
20260908,石油石化,2.0,观察,603353,和顺石油,石油|石化|天然气|油气
20260908,石油石化,2.0,观察,603393,新天然气,石油|石化|天然气|油气
20260908,石油石化,2.0,观察,603619,中曼石油,石油|石化|天然气|油气
20260908,石油石化,2.0,观察,603689,皖天然气,石油|石化|天然气|油气
20260908,石油石化,2.0,观察,688669,聚石化学,石油|石化|天然气|油气
20260908,航空机场,2.0,观察,000089,深圳机场,航空|机场|民航|飞机
20260908,航空机场,2.0,观察,000697,炼石航空,航空|机场|民航|飞机
20260908,航空机场,2.0,观察,002928,华夏航空,航空|机场|民航|飞机
20260908,航空机场,2.0,观察,300581,晨曦航空,航空|机场|民航|飞机
20260908,航空机场,2.0,观察,300900,广联航空,航空|机场|民航|飞机
