日期,板块,热度分,置信度,股票代码,股票名称,匹配线索
20251024,汽车,3.4,观察,000550,江铃汽车,汽车|整车|汽车零部件|乘用车
20251024,汽车,3.4,观察,000572,海马汽车,汽车|整车|汽车零部件|乘用车
20251024,汽车,3.4,观察,000625,长安汽车,汽车|整车|汽车零部件|乘用车
20251024,汽车,3.4,观察,000980,众泰汽车,汽车|整车|汽车零部件|乘用车
20251024,汽车,3.4,观察,301560,众捷汽车,汽车|整车|汽车零部件|乘用车
20251024,汽车,3.4,观察,600166,福田汽车,汽车|整车|汽车零部件|乘用车
20251024,汽车,3.4,观察,600335,国机汽车,汽车|整车|汽车零部件|乘用车
20251024,汽车,3.4,观察,600418,江淮汽车,汽车|整车|汽车零部件|乘用车
20251024,汽车,3.4,观察,600609,金杯汽车,汽车|整车|汽车零部件|乘用车
20251024,汽车,3.4,观察,600686,金龙汽车,汽车|整车|汽车零部件|乘用车
20251024,汽车,3.4,观察,600741,华域汽车,汽车|整车|汽车零部件|乘用车
20251024,汽车,3.4,观察,600960,渤海汽车,汽车|整车|汽车零部件|乘用车
20251024,汽车,3.4,观察,601279,英利汽车,汽车|整车|汽车零部件|乘用车
20251024,汽车,3.4,观察,601633,长城汽车,汽车|整车|汽车零部件|乘用车
20251024,汽车,3.4,观察,603982,泉峰汽车,汽车|整车|汽车零部件|乘用车
20251024,汽车,3.4,观察,920030,德众汽车,汽车|整车|汽车零部件|乘用车
20251024,建筑建材,3.4,观察,000786,北新建材,建筑|建材|水泥|玻璃
20251024,建筑建材,3.4,观察,600449,宁夏建材,建筑|建材|水泥|玻璃
20251024,建筑建材,3.4,观察,600585,海螺水泥,建筑|建材|水泥|玻璃
20251024,建筑建材,3.4,观察,600660,福耀玻璃,建筑|建材|水泥|玻璃
20251024,建筑建材,3.4,观察,600801,华新建材,建筑|建材|水泥|玻璃
20251024,建筑建材,3.4,观察,600802,福建水泥,建筑|建材|水泥|玻璃
20251024,建筑建材,3.4,观察,600819,耀皮玻璃,建筑|建材|水泥|玻璃
20251024,建筑建材,3.4,观察,601668,中国建筑,建筑|建材|水泥|玻璃
20251024,物流,3.4,观察,000520,凤凰航运,物流|快递|航运|港口
20251024,物流,3.4,观察,001872,招商港口,物流|快递|航运|港口
20251024,物流,3.4,观察,002468,申通快递,物流|快递|航运|港口
20251024,物流,3.4,观察,300013,新宁物流,物流|快递|航运|港口
20251024,物流,3.4,观察,600125,铁龙物流,物流|快递|航运|港口
20251024,物流,3.4,观察,600603,广汇物流,物流|快递|航运|港口
20251024,物流,3.4,观察,601083,锦江航运,物流|快递|航运|港口
20251024,物流,3.4,观察,601156,东航物流,物流|快递|航运|港口
20251024,物流,3.4,观察,603117,万林物流,物流|快递|航运|港口
20251024,物流,3.4,观察,603128,华贸物流,物流|快递|航运|港口
20251024,物流,3.4,观察,603565,中谷物流,物流|快递|航运|港口
20251024,物流,3.4,观察,603569,长久物流,物流|快递|航运|港口
20251024,物流,3.4,观察,603967,中创物流,物流|快递|航运|港口
20251024,一带一路,2.8,观察,002640,跨境通,一带一路|出海|外贸|跨境
20251024,电商,2.8,观察,002127,南极电商,电商|直播电商|跨境电商|平台经济
20251024,电子,2.8,观察,000561,烽火电子,电子
20251024,电子,2.8,观察,000682,东方电子,电子
20251024,电子,2.8,观察,000823,超声电子,电子
20251024,电子,2.8,观察,001365,天海电子,电子
20251024,电子,2.8,观察,001388,信通电子,电子
20251024,电子,2.8,观察,002036,联创电子,电子
20251024,电子,2.8,观察,002052,同洲电子,电子
20251024,电子,2.8,观察,002119,康强电子,电子
20251024,电子,2.8,观察,002121,科陆电子,电子
20251024,电子,2.8,观察,002138,顺络电子,电子
20251024,电子,2.8,观察,002197,证通电子,电子
20251024,电子,2.8,观察,002289,宇顺电子,电子
20251024,电子,2.8,观察,002339,积成电子,电子
20251024,电子,2.8,观察,002519,银河电子,电子
20251024,电子,2.8,观察,002546,新联电子,电子
20251024,电子,2.8,观察,002579,中京电子,电子
20251024,电子,2.8,观察,002587,奥拓电子,电子
20251024,电子,2.8,观察,002767,先锋电子,电子
20251024,电子,2.8,观察,002935,天奥电子,电子
20251024,电子,2.8,观察,003031,中瓷电子,电子
20251024,电子,2.8,观察,300270,中威电子,电子
20251024,电子,2.8,观察,300327,中颖电子,电子
20251024,电子,2.8,观察,300456,赛微电子,电子
20251024,电子,2.8,观察,300479,神思电子,电子
20251024,电子,2.8,观察,300567,精测电子,电子
20251024,电子,2.8,观察,300585,奥联电子,电子
20251024,电子,2.8,观察,300656,民德电子,电子
20251024,电子,2.8,观察,300657,弘信电子,电子
20251024,电子,2.8,观察,300666,江丰电子,电子
20251024,电子,2.8,观察,300726,宏达电子,电子
20251024,电子,2.8,观察,300975,商络电子,电子
20251024,电子,2.8,观察,300976,达瑞电子,电子
20251024,电子,2.8,观察,301099,雅创电子,电子
20251024,电子,2.8,观察,301107,瑜欣电子,电子
20251024,电子,2.8,观察,301121,紫建电子,电子
20251024,电子,2.8,观察,301123,奕东电子,电子
20251024,电子,2.8,观察,301189,奥尼电子,电子
20251024,电子,2.8,观察,301278,快可电子,电子
20251024,电子,2.8,观察,301282,金禄电子,电子
20251024,电子,2.8,观察,301328,维峰电子,电子
20251024,电子,2.8,观察,301329,信音电子,电子
20251024,电子,2.8,观察,301337,亚华电子,电子
20251024,电子,2.8,观察,301348,蓝箭电子,电子
20251024,电子,2.8,观察,301359,东南电子,电子
20251024,电子,2.8,观察,301379,天山电子,电子
20251024,电子,2.8,观察,301389,隆扬电子,电子
20251024,电子,2.8,观察,301458,钧崴电子,电子
20251024,电子,2.8,观察,301669,高特电子,电子
20251024,电子,2.8,观察,301682,宏明电子,电子
20251024,电子,2.8,观察,600203,福日电子,电子
20251024,电子,2.8,观察,600237,铜峰电子,电子
20251024,电子,2.8,观察,600353,旭光电子,电子
20251024,电子,2.8,观察,600360,华微电子,电子
20251024,电子,2.8,观察,600563,法拉电子,电子
20251024,电子,2.8,观察,600570,恒生电子,电子
20251024,电子,2.8,观察,600658,电子城,电子
20251024,电子,2.8,观察,600699,均胜电子,电子
20251024,电子,2.8,观察,600879,航天电子,电子
20251024,电子,2.8,观察,600990,四创电子,电子
20251024,电子,2.8,观察,601231,环旭电子,电子
20251024,电子,2.8,观察,603002,宏昌电子,电子
20251024,电子,2.8,观察,603175,超颖电子,电子
20251024,电子,2.8,观察,603228,景旺电子,电子
20251024,电子,2.8,观察,603267,鸿远电子,电子
20251024,电子,2.8,观察,603286,日盈电子,电子
20251024,电子,2.8,观察,603328,依顿电子,电子
20251024,电子,2.8,观察,603376,大明电子,电子
20251024,电子,2.8,观察,603629,利通电子,电子
20251024,电子,2.8,观察,603678,火炬电子,电子
20251024,电子,2.8,观察,603890,春秋电子,电子
20251024,电子,2.8,观察,603936,博敏电子,电子
